billing_code,description,plain_language_description
87880,STREP A ASSAY W/OPTIC,Test for strep A
88112,CYTOPATH CELL ENHANCE TECH,Urine test
88141,CYTOPATH C/V INTERPRET,Cervical cancer screening test with interpretation
88142,CYTOPATH C/V THIN LAYER,PAP smear
88150,CYTOPATH C/V MANUAL,Cervical cancer screening test done manually
88175,CYTOPATH C/V AUTO FLUID REDO,PAP smear
88305,TISSUE EXAM BY PATHOLOGIST,Test of tissues for diagnosis of abnormalities
88312,SPECIAL STAINS GROUP 1,Blood test to assist with diagnosis
88313,SPECIAL STAINS GROUP 2,Blood test to assist with diagnosis
88342,IMMUNOHISTO ANTB 1ST STAIN,Pathology test
90460,IM ADMIN 1ST/ONLY COMPONENT,Immunization administration in children <18
90471,IMMUNIZATION ADMIN,Immunization administration by a medical assistant or nurse
90474,IMMUNE ADMIN ORAL/NASAL ADDL,Immunization administered orally or nasally
90632,HEPA VACCINE ADULT IM,Hepatitis A vaccination for adults
90633,HEPA VACC PED/ADOL 2 DOSE IM,Hepatitis A vaccination for adolescents and children
90649,4VHPV VACCINE 3 DOSE IM,3-dose HPV vaccination
90656,IIV3 VACC NO PRSV 0.5 ML IM,Flu shot-high dose for 2019-2020 flu season given by injection
90658,IIV3 VACCINE SPLT 0.5 ML IM,Preservative free flu vaccine
90672,LAIV4 VACCINE INTRANASAL,Nasal flu vaccine
90681,RV1 VACC 2 DOSE LIVE ORAL,Rotavirus vaccination
90686,IIV4 VACC NO PRSV 0.5 ML IM,Flu shot-high dose for 2019-2020 flu season given by injection for people >65
90707,MMR VACCINE SC,"Measles, mumps and rubella vaccine"
90710,MMRV VACCINE SC,"measlesMeasles, mumps, rubella and varicella vaccine"
90715,TDAP VACCINE 7 YRS/> IM,"Diphtheria, tetanus acellular, and pertussis vaccine for adults"
90716,VAR VACCINE LIVE SUBQ,Varicella vaccine
90732,PPSV23 VACC 2 YRS+ SUBQ/IM,pneumococcal Pneumococcal vaccine
90734,MENACWYD/MENACWYCRM VACC IM,meningococcal Meningococcal conjugate vaccine
90736,HZV VACCINE LIVE SUBQ,Shingles vaccine
90746,HEPB VACCINE 3 DOSE ADULT IM,Hepatitis B vaccine
90791,PSYCH DIAGNOSTIC EVALUATION,"A diagnostic tool employed by a psychiatrist to diagnose problems with memory, thought processes, and behaviors"
90792,PSYCH DIAG EVAL W/MED SRVCS,A diagnostic tool employed by a psychiatrist to determine if medications are needed
90832,PSYTX W PT 30 MINUTES,"Psychotherapy, 30 min"
90833,PSYTX W PT W E/M 30 MIN,"Psychotherapy, 30 minutes with patient when performed with an evaluation and management service"
90834,PSYTX W PT 45 MINUTES,"Psychotherapy, 45 min"
90836,PSYTX W PT W E/M 45 MIN,"Psychotherapy, 45 minutes with patient when performed with an evaluation and management service"
90837,PSYTX W PT 60 MINUTES,"Psychotherapy, 60 min"
90838,"Psychotherapy, 60 minutes","Psychotherapy, 60 minutes"
90839,"Psychotherapy for crisis, first 60 minutes","Psychotherapy for crisis, first 60 minutes"
90840,Psychotherapy for crisis,Psychotherapy for crisis
90846,"Family psychotherapy, 50 minutes","Family psychotherapy, not including patient, 50 min"
90847,FAMILY PSYTX W/PT 50 MIN,"Family psychotherapy, including patient, 50 min"
90853,GROUP PSYCHOTHERAPY,Group psychotherapy
92002,EYE EXAM NEW PATIENT,Intermediate exam
92004,EYE EXAM NEW PATIENT,Complete exam
92012,EYE EXAM ESTABLISH PATIENT,Eye exam on an established patient
92014,EYE EXAM&TX ESTAB PT 1/>VST,Eye exam and treatment for established patient
92083,VISUAL FIELD EXAMINATION(S),An eye examination that can detect dysfunction in central and peripheral vision
92133,CMPTR OPHTH IMG OPTIC NERVE,Optic nerve imaging
92507,SPEECH/HEARING THERAPY,Therapy for speech or hearing
92523,SPEECH SOUND LANG COMPREHEN,Evaluation of speech sound production with evaluation of language comprehension
92552,PURE TONE AUDIOMETRY AIR,Type of hearing test
93000,ELECTROCARDIOGRAM COMPLETE,Routine EKG using at least 12 leads including interpretation and report
93015,CARDIOVASCULAR STRESS TEST,Test to determine heart abnormalities
93303,ECHO TRANSTHORACIC,Test to screen the heart for abnormalities
93306,Tte w/doppler complete,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function"
93307,TTE W/O DOPPLER COMPLETE,Echo without doppler study
93320,DOPPLER ECHO EXAM HEART,Echo with doppler
93350,STRESS TTE ONLY,Stress test with echocardiogram
93452,Cardiac Catheterization,Insertion of catheter into left heart for diagnosis
93798,CARDIAC REHAB/MONITOR,Use of EKG to monitor cardiac rehabilitation
93880,EXTRACRANIAL BILAT STUDY,Study of vessels on both sides of the head and neck
93922,UPR/L XTREMITY ART 2 LEVELS,Limited bilateral noninvasive physiologic studies of upper or lower extremity arteries
93970,EXTREMITY STUDY,Complete bilateral study of the extremities
93971,EXTREMITY STUDY,One sided or limited bilateral study
94010,BREATHING CAPACITY TEST,Test to determine how well oxygen moves from the lungs to the blood stream
94060,EVALUATION OF WHEEZING,Test to determine if wheezing is present
94375,RESPIRATORY FLOW VOLUME LOOP,Graphical representation of inspiration and expiration
94726,PULM FUNCT TST PLETHYSMOGRAP,Measures how much air is in the lungs after taking a deep breath
94727,PULM FUNCTION TEST BY GAS,Measure of lung function and gas exchange
94729,CO/MEMBANE DIFFUSE CAPACITY,Test to measure how well gases diffuse across lung surfaces
95004,PERCUT ALLERGY SKIN TESTS,Allergy test
95115,IMMUNOTHERAPY ONE INJECTION,Allergy shot-1 shot
95117,IMMUNOTHERAPY INJECTIONS,Multiple allergy shots
95810,POLYSOM 6/> YRS 4/> PARAM,Sleep monitoring of patient (6 years or older) in sleep lab
95811,POLYSOM 6/>YRS CPAP 4/> PARM,Sleep monitoring of patient (6 years or older) in sleep lab using CPAP
95860,MUSCLE TEST ONE LIMB,Test to measure electrical activity of muscles or nerves in 1 limb
95861,MUSCLE TEST 2 LIMBS,Test to measure electrical activity of muscles or nerves in 2 limb
95886,MUSC TEST DONE W/N TEST COMP,Test to assess for nerve damage
96110,DEVELOPMENTAL SCREEN W/SCORE,Childhood test to screen for developmental disabilities
96365,THER/PROPH/DIAG IV INF INIT,"Intravenous infusion, for therapy, prophylaxis, or diagnosis-initial infusion"
96366,THER/PROPH/DIAG IV INF ADDON,"Intravenous infusion, for therapy, prophylaxis, or diagnosis-additional infusions"
96374,THER/PROPH/DIAG INJ IV PUSH,"Intravenous infusion, for therapy, prophylaxis, or diagnosis-IV push"
96375,TX/PRO/DX INJ NEW DRUG ADDON,"Intravenous infusion, for treatment, prophylaxis, or diagnosis-new drug add on"
96376,TX/PRO/DX INJ SAME DRUG ADON,"Intravenous infusion, for treatment, prophylaxis, or diagnosis-same drug add on"
96415,CHEMO IV INFUSION ADDL HR,Chemotherapy infusion-each additional hour
96417,CHEMO IV INFUS EACH ADDL SEQ,Chemotherapy infusion-additional IV pushes of the same medication
97010,HOT OR COLD PACKS THERAPY,Use of external hot or cold packs
97012,MECHANICAL TRACTION THERAPY,Form of decompression therapy of the spine
97014,ELECTRIC STIMULATION THERAPY,One time use unattended
97016,VASOPNEUMATIC DEVICE THERAPY,"Machines designed to pump cold water into an inflatable wrap or brace, compressing the enveloped area of the body"
97026,INFRARED THERAPY,Light-based method to treat pain and inflammation
97032,ELECTRICAL STIMULATION,Repeated application to one or more parts of the body
97033,ELECTRIC CURRENT THERAPY,Psychiatric treatment in which seizures are electrically induced in patients to provide relief from mental disorders
97035,ULTRASOUND THERAPY,"Use of sound waves to treat medical problems, especially musculoskeletal problems like inflammation from injuries"
97110,THERAPEUTIC EXERCISES,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes"
97112,NEUROMUSCULAR REEDUCATION,A technique used by physical therapists to restore normal body movement patterns
97113,AQUATIC THERAPY/EXERCISES,Use of water for therapy/exercises
97116,GAIT TRAINING THERAPY,A type of physical therapy
97124,MASSAGE THERAPY,Use of massage
97140,MANUAL THERAPY 1/> REGIONS,Manipulation of 1 or more regions of the body
97530,THERAPEUTIC ACTIVITIES,"Incorporates the use of multiple parameters, such as balance, strength, and range of motion, for a functional activity"
97535,SELF CARE MNGMENT TRAINING,Occupational therapy
97597,RMVL DEVITAL TIS 20 CM/<,"Debridement (for example, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps)"
97811,ACUPUNCT W/O STIMUL ADDL 15M,Acupuncture without stimulation
97813,ACUPUNCT W/STIMUL 15 MIN,Acupuncture with stimulation
98940,CHIROPRACT MANJ 1-2 REGIONS,Chiropractic manipulation in 1-2 regions
98941,CHIROPRACT MANJ 3-4 REGIONS,Chiropractic manipulation in 3-4 regions
98943,CHIROPRACT MANJ XTRSPINL 1/>,Chiropractic manipulation not of the spine
98966,Hc pro phone call 5-10 min,"Telephone assessment and management service, 5-10 minutes of medical discussion"
98967,Hc pro phone call 11-20 min,"Telephone assessment and management service, 11-20 minutes of medical discussion"
98968,Hc pro phone call 21-30 min,"Telephone assessment and management service, 21-30 minutes of medical discussion"
98970,Qualified non physician health care professional online digital assessment and management est. patient 5-10 minutes,"Qualified non physician health care professional online digital assessment and management, for an established patient, for up to 7 days, cumulative time during the 7 days; 5-10 minutes"
98971,Qualified non physician health care professional online digital assessment and management est. patient 11-20 minutes,"Qualified non physician health care professional online digital assessment and management, for an established patient, for up to 7 days, cumulative time during the 7 days; 11-20 minutes"
98972,Qualified non physician health care professional online digital assessment and management for est. patients 21+ minutes,"Qualified non physician health care professional online digital assessment and management, for an established patient, for up to 7 days, cumulative time during the 7 days; 21 or more minutes"
99051,MED SERV EVE/WKEND/HOLIDAY,Medical service during off-hours
99173,VISUAL ACUITY SCREEN,Eye test
99202,OFFICE/OUTPATIENT VISIT NEW,"New patient office or other outpatient visit, typically 20 minutes"
99203,OFFICE/OUTPATIENT VISIT NEW,"New patient office or other outpatient visit, typically 30 min"
99204,OFFICE/OUTPATIENT VISIT NEW,"New patient office of other outpatient visit, typically 45 min"
99205,OFFICE/OUTPATIENT VISIT NEW,"New patient office of other outpatient visit, typically 60 min"
99211,OFFICE/OUTPATIENT VISIT EST,Outpatient visit of established patient not requiring a physician
99212,OFFICE/OUTPATIENT VISIT EST,Outpatient visit of established patient requiring a physician
99213,OFFICE/OUTPATIENT VISIT EST,"Established patient office or other outpatient visit, typically 15 minutes"
99214,OFFICE/OUTPATIENT VISIT EST,"Established patient office or other outpatient visit, typically 25 minutes"
99215,OFFICE/OUTPATIENT VISIT EST,"Established patient office or other outpatient, visit typically 40 minutes"
99243,OFFICE CONSULTATION,"Patient office consultation, typically 40 min"
99244,OFFICE CONSULTATION,"Patient office consultation, typically 60 min"
99283,Emergency dept visit,"Emergency department visit, moderately severe problem"
99284,Emergency dept visit,"Emergency department visit, problem of high severity"
99285,Emergency dept visit,"Emergency department visit, problem with significant threat to life or function"
99381,INIT PM E/M NEW PAT INFANT,Initial visit for an infant
99382,INIT PM E/M NEW PAT 1-4 YRS,Initial visit for new patients 1-4 years old
99383,PREV VISIT NEW AGE 5-11,New preventative visit in new patients 5-11 years old
99384,PREV VISIT NEW AGE 12-17,New preventative visit in new patients 12-17 years old
99385,PREV VISIT NEW AGE 18-39,Initial new patient preventive medicine evaluation (18–39 years)
99386,PREV VISIT NEW AGE 40-64,Initial new patient preventive medicine evaluation (40–64 years)
99387,INIT PM E/M NEW PAT 65+ YRS,Initial visit for new patients 65 and older years old
99391,PER PM REEVAL EST PAT INFANT,Periodic primary re-evaluation for an established infant patient
99392,PREV VISIT EST AGE 1-4,Initial visit for new patients 1-4 years old
99393,PREV VISIT EST AGE 5-11,New preventative visit in new patients 5-11 years old
99394,PREV VISIT EST AGE 12-17,New preventative visit in new patients 12-17 years old
99395,PREV VISIT EST AGE 18-39,Established patient periodic preventive medicine examination age 18-39 years
99396,PREV VISIT EST AGE 40-64,Established patient periodic preventive medicine examination age 40-64 years
99397,PER PM REEVAL EST PAT 65+ YR,Periodic primary re-evaluation for an established patient 65 and older
99421,ONLINE DIGITAL EVALUATION AND MANAGEMENT SERVICE; 5-10 MINUTES,"Online digital evaluation and management service, for an established patient, for up to 7 days, cumulative time during the 7 days; 5-10 minutes"
99422,Online digital evaluation and management service; 11-20 minutes,"Online digital evaluation and management service, for an established patient, for up to 7 days, cumulative time during the 7 days; 11-20 minutes"
99441,Phone e/m phys/qhp 5-10 min,"Physician telephone patient service, 5-10 minutes of medical discussion"
99442,Phone e/m phys/qhp 11-20 min,"Physician telephone patient service, 11-20 minutes of medical discussion"
99443,Phone e/m phys/qhp 21-30 min,"Physician telephone patient service, 21-30 minutes of medical discussion"
